filename,label
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_48812_2016-091_v01.10_r05_scene09_W096_S42.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_48881_2016-096_v01.10_r05_scene02_E094_N68.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49982_2016-169_v01.10_r05_scene11_E096_S33.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_48761_2016-088_v01.10_r05_scene05_E055_N20.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49512_2016-138_v01.10_r05_scene13_E136_S43.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_50025_2016-172_v01.10_r05_scene05_E174_N55.png,6
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49549_2016-140_v01.10_r05_scene06_W010_N26.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49850_2016-160_v01.10_r05_scene05_E027_N59.png,6
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49104_2016-111_v01.10_r05_scene06_E160_N31.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_50673_2016-215_v01.10_r05_scene08_W169_S10.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49755_2016-154_v01.10_r05_scene01_W083_N70.png,2
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_50462_2016-201_v01.10_r05_scene03_W138_N76.png,2
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49385_2016-129_v01.10_r05_scene08_W069_S12.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49942_2016-166_v01.10_r05_scene13_W032_S38.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49868_2016-161_v01.10_r05_scene05_W040_N61.png,6
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49963_2016-168_v01.10_r05_scene04_W138_N69.png,6
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49973_2016-168_v01.10_r05_scene03_W018_N67.png,6
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_50295_2016-190_v01.10_r05_scene12_W169_S46.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_50624_2016-211_v01.10_r05_scene08_W077_N08.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49754_2016-154_v01.10_r05_scene06_E145_N31.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_50263_2016-187_v01.10_r05_scene09_W115_S03.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49899_2016-163_v01.10_r05_scene09_W081_S13.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49764_2016-154_v01.10_r05_scene07_W094_N30.png,0
../../data/north_2016/l2a/scene_images/cips_raa_2a_orbit_49664_2016-148_v01.10_r05_scene09_E123_S01.png,0
